Days out from election,Dem,GOP,Other
-48,0,0,0
-47,0,0,0
-46,0,0,0
-45,0,0,0
-44,0,0,0
-43,4,2,1
-42,10,3,1
-41,33,18,7
-40,56,50,15
-39,73,60,20
-38,73,60,20
-37,73,60,20
-36,154,195,56
-35,184,240,65
-34,218,292,76
-33,257,376,87
-32,511,600,162
-31,519,622,167
-30,519,622,167
-29,587,748,204
-28,626,827,225
-27,675,919,246
-26,858,1134,306
-25,887,1208,331
-24,887,1208,331
-23,887,1208,331
-22,895,1210,335
-21,1113,1420,403
-20,1475,1805,503
-19,2673,2604,792
-18,3399,3149,968
-17,3910,3442,1066
-16,3911,3442,1067
-15,5270,4969,1492
-14,9550,11123,3378
-13,12442,15572,4715
-12,13785,17009,5172
-11,18160,23843,7457
-10,18898,24889,7844
-9,20211,26483,8469
-8,23581,31490,10085
-7,25075,33592,10694
-6,27439,37274,11939
-5,29905,40942,13304
-4,33557,46093,15117
-3,36346,50285,16616
-2,36386,50309,16629
-1,38540,53503,17827
0,38735,53957,17993
1,42584,58435,19986
2,42584,58435,19986
3,42584,58435,19986
