Days out from election,2020,2022,2024
-48,0,0,0
-47,0,0,0
-46,0,0,2
-45,9,3,4
-44,26,3,5
-43,62,84,140
-42,76,250,185
-41,104,351,253
-40,184,416,361
-39,200,481,457
-38,203,481,457
-37,211,481,504
-36,228,637,683
-35,236,738,892
-34,271,795,1046
-33,335,874,1168
-32,517,944,1331
-31,563,946,1368
-30,584,946,1688
-29,622,1142,1893
-28,704,1256,2220
-27,3254,1763,4864
-26,5337,2216,8429
-25,7991,3564,15992
-24,10631,3614,16543
-23,10992,3704,16900
-22,36891,22123,28424
-21,141908,46171,77806
-20,208497,158061,177625
-19,405702,244515,312633
-18,601902,314109,440765
-17,650027,317662,537972
-16,713993,317717,554487
-15,855406,448131,660725
-14,1041187,581091,849967
-13,1223467,694437,1000379
-12,1356724,790239,1153032
-11,1477644,880166,1279202
-10,1547461,934472,1395408
-9,1608087,934472,1472300
-8,1736290,1026996,1539688
-7,1949580,1187302,1739889
-6,2108876,1333495,1924663
-5,2270402,1409025,2039765
-4,2382535,1483226,2128782
-3,2411883,1510080,2208643
-2,2412227,1533707,2285949
-1,2501545,1564515,2313768
0,2674245,1605325,2353438
1,2704779,1637041,2376655
2,2711753,1658157,2377110
3,2711942,1662201,2377110
