Days out from election,Dem,GOP,Other
-48,103,11,5
-47,176,17,6
-46,246,26,9
-45,301,34,11
-44,343,36,12
-43,743,109,34
-42,989,140,41
-41,1199,168,44
-40,1552,227,61
-39,1804,258,70
-38,1837,261,72
-37,1868,265,74
-36,2361,339,91
-35,2672,373,107
-34,3066,421,122
-33,3666,586,146
-32,4777,1159,199
-31,4850,1164,201
-30,4888,1167,203
-29,15081,5855,766
-28,39727,14003,1850
-27,84355,37782,4304
-26,184069,98213,10244
-25,264666,144917,14782
-24,298123,168653,17283
-23,298192,168661,17286
-22,380621,218172,21660
-21,557318,303482,30064
-20,758424,423701,41359
-19,1016975,567845,55113
-18,1205017,679911,65252
-17,1268702,721647,69494
-16,1273953,722769,69699
-15,1554325,864906,84610
-14,1823541,1005907,98991
-13,2063127,1136807,112376
-12,2289500,1258236,125113
-11,2485869,1368185,136747
-10,2622715,1458108,146435
-9,2679704,1486613,150419
-8,3010169,1645204,169209
-7,3363604,1828399,191317
-6,3724292,2006599,214502
-5,4032615,2160136,233878
-4,4317988,2302661,252135
-3,4603905,2452442,271919
-2,4818298,2548554,286300
-1,5124739,2710788,309793
0,5436501,2898450,339739
1,5663412,2987820,356584
2,5666143,2989823,356934
3,5666147,2989824,356934
