Days out from election,2020,2022,2024
-48,0,0,0
-47,0,0,0
-46,60,26,130
-45,184,62,260
-44,277,83,337
-43,861,198,1190
-42,1491,401,2312
-41,2149,520,2693
-40,2623,650,3224
-39,3325,702,3450
-38,3441,708,3479
-37,3498,723,3512
-36,4185,817,4461
-35,4802,970,4962
-34,5368,1239,5469
-33,5763,1351,5983
-32,6717,1505,6233
-31,6876,1515,6270
-30,6933,1521,6325
-29,7676,1806,7219
-28,8299,2074,7833
-27,9435,2202,8587
-26,10022,2370,9150
-25,10862,2480,9783
-24,11099,2500,9832
-23,11171,2518,9876
-22,42366,3143,30993
-21,179036,3889,70311
-20,310421,8456,121279
-19,434745,22841,185627
-18,574405,55298,285799
-17,616833,56371,296041
-16,623061,58168,298503
-15,917976,166759,499405
-14,1084613,262165,617343
-13,1253551,348203,748811
-12,1399610,427699,852948
-11,1521691,499484,965095
-10,1580523,518645,1009208
-9,1592012,519594,1028663
-8,1740211,715233,1224113
-7,1890801,828364,1381549
-6,2049753,941808,1525200
-5,2194199,1052368,1653660
-4,2330255,1151801,1792846
-3,2413887,1238410,1912616
-2,2453359,1276580,1997765
-1,2680722,1600823,2364819
0,3047642,2331707,3067328
1,3047645,2331831,3068173
2,3047645,2331837,3068347
3,3047645,2331837,3068347
