Days out from election,2020,2022,2024
-48,0,0,6
-47,0,0,6
-46,0,0,6
-45,0,0,6
-44,0,0,53
-43,81,0,198
-42,134,0,308
-41,384,3,396
-40,586,157,450
-39,726,188,615
-38,763,188,766
-37,765,188,817
-36,1120,670,1488
-35,1448,1546,2301
-34,2445,2496,4623
-33,3833,2814,6235
-32,6194,4376,8489
-31,8184,5385,9782
-30,8190,5385,9797
-29,13427,5672,11533
-28,21392,6377,13353
-27,28420,7068,14333
-26,37095,8428,16305
-25,44767,9349,17014
-24,48807,10150,17976
-23,49013,10150,18018
-22,54257,10885,18325
-21,61809,11416,19634
-20,69865,12140,20830
-19,81526,12892,21779
-18,89734,13316,23486
-17,92740,13316,24187
-16,95269,13316,24187
-15,100991,14558,25295
-14,108333,15422,26415
-13,115189,15807,27495
-12,119679,16522,27957
-11,124499,22977,55927
-10,127583,26385,72844
-9,128900,29100,86891
-8,132180,35174,112035
-7,139073,42019,135225
-6,144598,49304,162644
-5,148967,56196,184882
-4,153769,64695,207767
-3,156674,70168,225164
-2,157408,76392,244856
-1,161624,77092,245772
0,165236,77092,245772
1,165388,77092,245772
2,165462,77092,245772
3,165462,77092,245772
