Days out from election,Dem,GOP,Other
-48,3,3,0
-47,3,3,0
-46,3,3,0
-45,3,3,0
-44,42,9,2
-43,155,38,5
-42,235,65,8
-41,291,95,10
-40,323,114,13
-39,424,171,20
-38,552,193,21
-37,588,206,23
-36,1074,376,38
-35,1641,593,67
-34,3121,1363,139
-33,4315,1730,190
-32,5691,2552,246
-31,6653,2838,291
-30,6659,2847,291
-29,7735,3440,358
-28,8934,3997,422
-27,9552,4339,442
-26,10868,4910,527
-25,11259,5204,551
-24,11958,5421,597
-23,11984,5435,599
-22,12179,5530,616
-21,12993,5982,659
-20,13740,6385,705
-19,14338,6702,739
-18,15497,7166,823
-17,15939,7394,854
-16,15939,7394,854
-15,16649,7742,904
-14,17325,8125,965
-13,18014,8460,1021
-12,18274,8645,1038
-11,31293,22651,1983
-10,39938,30244,2662
-9,47326,36321,3244
-8,59517,48173,4345
-7,71048,58863,5314
-6,85273,70721,6650
-5,96965,80145,7772
-4,109080,89686,9001
-3,119062,96130,9972
-2,130364,103404,11088
-1,130920,103703,11149
0,130920,103703,11149
1,130920,103703,11149
2,130920,103703,11149
3,130920,103703,11149
