Days out from election,2020,2022,2024
-48,81,68,52
-47,150,93,94
-46,312,125,202
-45,361,126,204
-44,393,126,209
-43,1181,405,1001
-42,2190,622,1723
-41,3146,791,2309
-40,4818,838,2543
-39,6837,1189,3241
-38,7638,1198,3437
-37,7751,1209,3446
-36,34935,2612,6585
-35,136906,14479,21947
-34,242729,29117,43579
-33,344186,49119,79143
-32,477024,91086,129020
-31,563960,96641,148406
-30,576692,96642,150443
-29,716618,132291,259729
-28,962747,206085,330056
-27,1186777,337308,362128
-26,1376838,475687,369273
-25,1551808,580990,450569
-24,1657467,604718,512686
-23,1669030,604832,534600
-22,1785049,736511,606576
-21,1921677,839698,715680
-20,2094339,948301,839143
-19,2283596,1047027,988188
-18,2427394,1135860,1107699
-17,2501776,1160530,1160883
-16,2510293,1163675,1164581
-15,3038263,1400515,1673721
-14,3671750,1666130,2220687
-13,4250131,1929798,2771220
-12,4752926,2182738,3269937
-11,5264869,2440349,3790501
-10,5682954,2642652,4199497
-9,5980449,2752034,4481670
-8,6400106,3003842,5005476
-7,6872396,3279045,5536553
-6,7331765,3549908,6044358
-5,7762220,3850365,6522141
-4,8229142,4201508,7063745
-3,8623980,4512535,7565902
-2,8890305,4741708,7899681
-1,8983691,4869074,7985420
0,9088432,4997603,8072577
1,9089122,4997842,8072584
2,9089921,4998137,8072584
3,9090714,4998228,8072584
