Days out from election,Dem,GOP,Other
-48,2,1,1
-47,3,2,2
-46,18,15,2
-45,20,15,2
-44,20,15,2
-43,41,28,6
-42,63,54,7
-41,104,74,13
-40,126,97,18
-39,131,100,18
-38,131,102,19
-37,131,102,19
-36,282,199,56
-35,427,270,100
-34,579,335,136
-33,695,402,159
-32,851,460,183
-31,899,467,188
-30,901,467,188
-29,1103,593,242
-28,1435,770,307
-27,1865,1279,373
-26,2875,2421,480
-25,4805,4256,702
-24,5042,4459,735
-23,5067,4465,740
-22,7200,6092,933
-21,162886,156126,15657
-20,292684,296868,29831
-19,411674,433254,44366
-18,543239,581474,62075
-17,624747,656168,73899
-16,654997,668080,77358
-15,768343,799318,93996
-14,867577,919619,109603
-13,956008,1027505,124839
-12,1040483,1129669,140322
-11,1139321,1246001,159831
-10,1212438,1319489,174115
-9,1237267,1326942,177364
-8,1331441,1432301,196386
-7,1419003,1527455,214919
-6,1507964,1615084,233659
-5,1601929,1700094,253573
-4,1741962,1816209,284326
-3,1745318,1817611,284925
-2,1746522,1818017,285114
-1,1753568,1822421,286685
0,1761134,1826253,288210
1,1761231,1826289,288240
2,1761232,1826291,288241
3,1761409,1826392,288253
