Days out from election,2020,2022,2024
-48,0,0,0
-47,0,0,0
-46,0,0,0
-45,0,0,0
-44,0,0,0
-43,0,0,0
-42,0,0,0
-41,0,0,0
-40,0,0,0
-39,0,0,0
-38,0,0,0
-37,0,0,0
-36,0,0,0
-35,0,47,197
-34,0,51,219
-33,0,52,329
-32,0,56,357
-31,0,56,357
-30,0,56,357
-29,0,69,403
-28,0,74,403
-27,371,74,403
-26,8658,74,403
-25,10598,96,501
-24,33467,96,501
-23,33467,96,501
-22,35594,105,557
-21,76030,115,557
-20,118467,126,581
-19,141883,836,1399
-18,159100,7468,6113
-17,174114,7468,25753
-16,174114,7468,25757
-15,185889,41585,42156
-14,207046,60354,72235
-13,223753,74742,93476
-12,237096,86902,110650
-11,248864,98089,126463
-10,260427,98288,140224
-9,260427,98288,140227
-8,270008,117354,152631
-7,289755,136346,176358
-6,308235,151666,193530
-5,319993,167120,209481
-4,319993,180917,223799
-3,319993,194405,238197
-2,319993,194405,238197
-1,319993,194543,245686
0,319993,194543,245686
1,319993,194543,245686
2,319993,194543,245686
3,319993,194543,245686
