Days out from election,2020,2022,2024
-48,0,1,1
-47,0,1,1
-46,3,3,108
-45,4,3,108
-44,5,4,108
-43,158,81,448
-42,432,387,1420
-41,908,1232,3095
-40,1899,2518,6555
-39,3996,4853,9235
-38,3996,4853,9235
-37,4003,4854,9243
-36,9562,7781,14757
-35,13373,10585,19852
-34,19508,13038,22669
-33,24923,16027,27885
-32,29237,18261,30392
-31,29263,18261,30392
-30,29298,18261,30414
-29,38529,18293,36528
-28,45624,22382,38948
-27,58641,24480,44674
-26,72156,27526,50503
-25,87340,31698,55362
-24,89036,31707,55388
-23,89056,31733,55388
-22,103367,36049,55526
-21,121411,40296,70721
-20,149007,44649,83134
-19,174874,48354,95824
-18,201365,52610,111095
-17,205167,52610,111121
-16,205167,52611,111138
-15,230463,62398,132395
-14,249723,72456,153990
-13,279639,82179,173729
-12,301957,90868,193264
-11,320763,100679,214997
-10,320880,100759,215403
-9,320880,100759,215454
-8,353814,114176,240416
-7,379382,124204,263256
-6,403887,136399,285646
-5,425787,148121,307863
-4,453757,162597,334498
-3,472325,163355,335027
-2,472835,163355,335095
-1,488066,163504,346752
0,490913,163516,346791
1,490913,163516,346791
2,490913,163516,346791
3,490913,163516,346791
