Days out from election,Dem,GOP,Other
-48,1,0,0
-47,1,0,0
-46,39,60,9
-45,39,60,9
-44,39,60,9
-43,121,309,18
-42,414,950,56
-41,1029,1853,213
-40,2500,3329,726
-39,3338,4941,956
-38,3338,4941,956
-37,3343,4944,956
-36,5521,7677,1559
-35,7977,9451,2424
-34,9024,10976,2669
-33,11212,13185,3488
-32,12069,14626,3697
-31,12069,14626,3697
-30,12081,14632,3701
-29,14166,18078,4284
-28,15100,19398,4450
-27,17414,22023,5237
-26,19766,24428,6309
-25,21642,26607,7113
-24,21654,26612,7122
-23,21654,26612,7122
-22,21675,26723,7128
-21,26855,34022,9844
-20,31368,39470,12296
-19,35522,45862,14440
-18,40822,52769,17504
-17,40829,52787,17505
-16,40830,52802,17506
-15,46209,65838,20348
-14,52572,77688,23730
-13,57812,89286,26631
-12,62757,101186,29321
-11,68239,114247,32511
-10,68332,114535,32536
-9,68343,114575,32536
-8,74372,130223,35821
-7,80861,142932,39463
-6,86508,156219,42919
-5,91788,169963,46112
-4,98306,186073,50119
-3,98384,186511,50132
-2,98406,186555,50134
-1,102865,191591,52296
0,102872,191618,52301
1,102872,191618,52301
2,102872,191618,52301
3,102872,191618,52301
