Days out from election,2020,2022,2024
-48,1129,12,119
-47,1143,12,122
-46,1154,29,124
-45,1156,29,124
-44,1159,29,124
-43,1175,34,127
-42,1199,36,133
-41,1231,37,143
-40,18177,2761,11871
-39,34136,5424,21149
-38,35500,5568,21833
-37,36849,5772,21833
-36,60935,10566,34602
-35,88999,16293,49724
-34,122305,25634,70587
-33,181757,39712,97733
-32,235572,61366,121586
-31,255592,63539,123243
-30,259462,64096,124875
-29,331283,68494,170383
-28,410447,94412,204364
-27,472622,117551,245269
-26,561240,152442,290937
-25,617592,179543,336167
-24,642494,182514,350936
-23,646699,189430,351532
-22,685129,222864,369985
-21,771037,252867,420313
-20,879378,275655,454227
-19,969774,307361,501069
-18,1062653,335670,563704
-17,1108094,339830,572942
-16,1149187,341773,577629
-15,1342177,413040,726992
-14,1494823,473037,859610
-13,1715392,543878,1010707
-12,1890651,607201,1143193
-11,2098283,680715,1281490
-10,2197918,717205,1368954
-9,2266453,744170,1444516
-8,2469026,825194,1611217
-7,2670107,907839,1764735
-6,2845668,985979,1917424
-5,3022874,1079675,2066704
-4,3267894,1196122,2246097
-3,3372262,1265277,2390465
-2,3487248,1321404,2483464
-1,3599209,1452485,2672761
0,3606712,1504257,2867517
1,3606712,1523811,2894073
2,3606712,1551676,2918635
3,3606712,1575443,2918638
