Days out from election,Dem,GOP,Other
-48,2,0,2
-47,2,0,2
-46,9,5,2
-45,9,6,3
-44,9,6,3
-43,66,44,4
-42,118,77,8
-41,221,159,15
-40,312,206,25
-39,384,254,28
-38,384,254,28
-37,384,254,28
-36,466,298,33
-35,515,316,37
-34,555,332,39
-33,605,368,42
-32,661,396,48
-31,662,396,48
-30,662,396,48
-29,805,441,69
-28,862,466,78
-27,918,498,81
-26,1001,524,87
-25,1061,563,94
-24,1079,564,94
-23,1079,565,94
-22,1138,587,97
-21,1372,696,127
-20,14001,11598,1167
-19,25624,21550,2295
-18,39810,34521,3780
-17,44363,36127,4542
-16,45809,36751,4646
-15,77610,64679,7361
-14,110940,93372,10932
-13,139708,120474,14137
-12,163091,144072,16644
-11,185571,168507,19511
-10,197648,176183,21099
-9,199828,177127,21285
-8,219140,199266,23660
-7,237562,218307,26450
-6,253200,236095,28880
-5,267646,254314,31221
-4,284815,275426,34435
-3,296449,287227,36288
-2,298792,288471,36588
-1,314133,308992,39355
0,315849,310330,39678
1,315875,310347,39679
2,315875,310347,39679
3,315876,310348,39679
