Days out from election,2020,2022,2024
-48,0,0,0
-47,0,0,0
-46,0,0,0
-45,0,0,0
-44,0,0,0
-43,0,0,0
-42,0,0,0
-41,0,0,0
-40,0,0,0
-39,0,0,0
-38,0,0,0
-37,0,0,0
-36,0,0,0
-35,0,0,0
-34,0,0,0
-33,0,0,0
-32,0,0,0
-31,0,0,0
-30,0,0,0
-29,0,0,0
-28,0,0,0
-27,0,0,0
-26,0,0,0
-25,0,0,0
-24,0,0,0
-23,0,0,0
-22,0,0,0
-21,0,0,0
-20,1791,387,731
-19,2045,1229,4768
-18,2045,3572,11108
-17,2045,3572,11108
-16,2045,3572,11108
-15,26277,12012,34678
-14,71842,27116,61647
-13,149526,48420,75166
-12,217670,72953,159903
-11,276656,92002,206403
-10,276656,92002,206403
-9,276656,92002,206403
-8,353343,134963,288929
-7,414738,166604,325045
-6,478911,204648,373763
-5,528444,243462,431991
-4,593388,281002,491956
-3,696252,322503,547754
-2,696252,322504,547754
-1,778430,350927,617968
0,778430,385467,655971
1,778430,385467,655971
2,825790,385467,655971
3,831582,385467,655971
