Days out from election,2020,2022,2024
-48,0,0,0
-47,0,0,0
-46,0,0,0
-45,0,0,0
-44,0,0,0
-43,0,0,0
-42,0,0,0
-41,0,0,0
-40,0,0,0
-39,0,0,0
-38,0,0,0
-37,0,0,0
-36,0,0,0
-35,0,0,0
-34,0,0,0
-33,0,0,0
-32,0,0,0
-31,0,0,0
-30,0,0,0
-29,0,0,0
-28,0,0,0
-27,0,0,0
-26,0,0,0
-25,0,0,0
-24,0,0,0
-23,0,0,0
-22,0,0,0
-21,0,0,0
-20,0,0,0
-19,0,0,0
-18,172014,0,173204
-17,252363,0,253160
-16,252363,0,253160
-15,337465,0,341866
-14,419013,107216,426637
-13,498561,144066,505141
-12,576110,179548,576087
-11,656007,219323,657769
-10,736562,255102,736676
-9,736562,255102,736676
-8,830612,300712,825315
-7,926939,353232,925393
-6,926939,353232,925393
-5,926939,353232,925393
-4,926939,353232,925393
-3,926939,353232,925393
-2,926939,353232,925393
-1,926939,353232,925393
0,926939,353232,925393
1,926939,353232,925393
2,926939,353232,925393
3,926939,353232,925393
