Days out from election,Dem,GOP,Other
-48,4,4,2
-47,16,13,4
-46,21,18,5
-45,23,22,5
-44,23,26,6
-43,205,185,30
-42,406,408,94
-41,685,695,149
-40,1302,1351,296
-39,2291,2232,490
-38,2427,2447,507
-37,2591,2597,541
-36,14223,10673,2656
-35,38806,20554,5368
-34,63952,34116,9097
-33,93698,50574,13818
-32,119861,64835,17955
-31,122538,66210,18262
-30,123928,67310,18542
-29,186354,106241,29747
-28,230196,134026,37002
-27,269443,161869,44264
-26,308947,189195,51714
-25,339772,208307,56899
-24,344183,211532,57592
-23,345874,213319,58006
-22,377936,237447,64477
-21,434918,280206,75690
-20,471283,310223,82721
-19,513558,346288,91802
-18,544126,371714,98543
-17,551216,376061,99514
-16,553976,378283,100064
-15,614556,433007,114717
-14,656197,472716,125287
-13,699858,507701,135216
-12,734712,541445,144022
-11,763173,565107,151382
-10,821059,657122,170676
-9,862899,721335,185962
-8,946409,832275,213283
-7,1023748,932282,238594
-6,1096719,1023604,263742
-5,1167162,1113870,288816
-4,1243782,1210386,316663
-3,1319875,1301183,345005
-2,1397223,1401186,375961
-1,1447608,1451061,394086
0,1506018,1494560,414084
1,1506137,1494645,414143
2,1506137,1494645,414144
3,1506138,1494650,414144
