Days out from election,2020,2022,2024
-48,0,2,0
-47,2,73,0
-46,3448,813,2823
-45,3613,813,2823
-44,3613,813,2971
-43,12454,3296,9735
-42,28007,6124,21068
-41,49329,10706,31056
-40,73067,17678,45274
-39,104010,24654,54327
-38,105911,24815,54409
-37,106992,24815,54409
-36,157913,33023,72089
-35,208589,40017,87199
-34,267577,48251,101328
-33,326374,57308,119807
-32,387916,67335,136869
-31,389030,67335,136869
-30,389230,67335,136869
-29,455165,74577,161096
-28,513177,86243,182155
-27,565664,95167,203421
-26,618836,109617,225473
-25,667599,122479,245907
-24,668629,122589,246326
-23,668679,122589,246326
-22,722566,138675,264528
-21,772545,156461,289409
-20,828292,166982,313003
-19,886110,185291,347361
-18,941010,203532,393266
-17,944364,203881,393277
-16,944368,203881,393277
-15,1011171,225501,439296
-14,1063674,243896,482644
-13,1106168,264550,525223
-12,1149535,286809,570120
-11,1196793,312481,623770
-10,1207397,314357,652387
-9,1209171,314693,653595
-8,1277042,349117,710534
-7,1356113,386821,779148
-6,1433335,423984,840490
-5,1513901,460614,892945
-4,1599078,508824,965327
-3,1623409,534923,1014077
-2,1647350,536612,1058731
-1,1761518,606788,1151680
0,1815074,606788,1183385
1,1817564,606788,1183396
2,1818132,606788,1183396
3,1818441,606788,1183396
