Days out from election,2020,2022,2024
-48,0,0,1
-47,0,1,1
-46,30,2,4
-45,30,3,4
-44,30,3,4
-43,212,42,78
-42,321,77,126
-41,390,130,163
-40,507,161,281
-39,597,182,349
-38,620,182,349
-37,634,182,349
-36,782,225,411
-35,889,251,454
-34,990,262,492
-33,1106,272,523
-32,1486,295,569
-31,1503,295,569
-30,1505,295,585
-29,2197,296,808
-28,2803,409,1254
-27,3440,651,1508
-26,4021,770,1762
-25,5773,969,2260
-24,5773,969,2271
-23,5774,969,2395
-22,7300,3203,2484
-21,23021,17901,11579
-20,52073,34148,32377
-19,97433,50847,61977
-18,141051,68890,89047
-17,157795,69143,94419
-16,164120,69144,94518
-15,209646,97324,131084
-14,243274,115165,161418
-13,288275,135073,195453
-12,321890,152084,222051
-11,346196,169784,243257
-10,358218,170582,250380
-9,360720,170582,250763
-8,387905,194272,281420
-7,414326,215717,307377
-6,439238,237567,331175
-5,465932,255262,351698
-4,489033,276616,373331
-3,502647,282167,380495
-2,503862,282205,380942
-1,527233,306007,413715
0,577554,360170,453321
1,583422,369217,455272
2,583435,369217,455272
3,583440,369217,455272
