Days out from election,2020,2022,2024
-48,34,3,2
-47,48,4,2
-46,83,7,2
-45,128,7,10
-44,149,9,29
-43,253,18,54
-42,300,82,108
-41,343,140,146
-40,432,161,201
-39,555,162,236
-38,580,163,256
-37,603,164,277
-36,713,213,366
-35,923,297,488
-34,1363,326,645
-33,1871,366,885
-32,2282,389,1205
-31,2300,390,1230
-30,2311,392,1290
-29,3539,457,2221
-28,4431,508,3138
-27,6179,568,4762
-26,11134,628,5976
-25,20695,657,7278
-24,20771,661,7304
-23,23942,661,7328
-22,36743,1329,9369
-21,58029,1638,15904
-20,128193,2996,23593
-19,137449,4313,33161
-18,144364,7343,38540
-17,217909,24647,151224
-16,251605,69305,177890
-15,326812,91826,248120
-14,419986,129203,317481
-13,499484,168855,378212
-12,576318,215201,434433
-11,645246,249772,489459
-10,701505,281670,537694
-9,725836,298817,565262
-8,783704,330651,628430
-7,854687,377914,696946
-6,925066,412531,761235
-5,998931,459473,823983
-4,1083847,539265,915300
-3,1121553,569109,926273
-2,1127013,573835,927076
-1,1132679,587637,945893
0,1156413,623699,1151162
1,1157370,657774,1180094
2,1198591,689618,1182133
3,1202107,690067,1182153
