Days out from election,2020,2022,2024
-48,48,1,0
-47,49,1,3
-46,53,3,3
-45,53,3,3
-44,55,5,3
-43,74,17,23
-42,99,22,34
-41,172,43,52
-40,334,60,73
-39,804,80,102
-38,823,82,104
-37,823,84,104
-36,4831,156,314
-35,8284,292,510
-34,12422,524,908
-33,17677,876,1718
-32,23638,1281,2616
-31,24760,1294,2657
-30,24792,1298,2658
-29,36741,1385,5516
-28,45389,3186,8312
-27,54441,4715,10677
-26,64417,6013,12774
-25,72103,7414,15353
-24,74399,7455,15452
-23,74431,7457,15456
-22,75272,10334,15758
-21,87603,12743,21781
-20,97219,14571,25401
-19,105568,16466,29219
-18,113123,18145,32107
-17,114363,18225,32211
-16,114452,18236,32228
-15,125335,21578,37900
-14,132145,23941,42213
-13,139741,26173,46035
-12,145157,28493,50358
-11,150644,30605,53856
-10,151833,30736,54066
-9,151956,30738,54100
-8,159087,34718,60828
-7,164001,37624,65994
-6,168279,40437,70372
-5,170646,43256,74689
-4,171540,43256,78896
-3,171570,43256,79134
-2,171570,43256,79278
-1,171668,43256,85786
0,171668,43256,85786
1,171668,43256,85786
2,171668,43256,85786
3,171668,43256,85786
