Days out from election,Dem,GOP,Other
-48,130,40,10
-47,306,98,23
-46,654,190,44
-45,761,213,51
-44,851,236,55
-43,2864,881,140
-42,5675,1562,249
-41,15908,4720,616
-40,27054,8711,1034
-39,39437,13247,1531
-38,40928,13764,1588
-37,41202,13935,1599
-36,72818,25135,2993
-35,88329,31291,3695
-34,110675,39487,4703
-33,128173,46000,5491
-32,147194,52994,6408
-31,150649,54338,6570
-30,151230,54680,6615
-29,180114,64761,8100
-28,193212,70132,8782
-27,210414,77332,9839
-26,225237,82946,10698
-25,238209,88341,11424
-24,242058,89920,11652
-23,243076,90438,11727
-22,248846,91980,12055
-21,274242,101538,13607
-20,286111,107426,14389
-19,306523,115744,15813
-18,320267,121968,16853
-17,323590,123636,17135
-16,324020,123971,17176
-15,346591,132487,18702
-14,361895,139062,19855
-13,375539,145542,21010
-12,388607,151090,21999
-11,401100,156552,23007
-10,409003,159967,23730
-9,413748,162164,24184
-8,432131,169841,25794
-7,447722,177069,27198
-6,464300,185030,28968
-5,478324,191613,30400
-4,490678,197635,31693
-3,501046,202265,32807
-2,507721,204903,33483
-1,525698,212389,35412
0,538673,217796,36846
1,538673,217796,36846
2,538673,217796,36846
3,538673,217796,36846
