Days out from election,2020,2022,2024
-48,90201,4668,0
-47,108993,5732,0
-46,127277,6814,132
-45,131857,6856,321
-44,132250,6862,519
-43,162909,8981,1336
-42,181540,9590,2062
-41,207262,11527,3083
-40,230646,12685,3493
-39,249014,13741,4108
-38,256174,13819,4593
-37,256797,13826,4731
-36,281470,15940,7235
-35,289700,16837,9351
-34,317795,19021,12793
-33,332829,20720,17426
-32,354168,22516,21603
-31,363448,22959,22825
-30,364827,22970,23026
-29,390630,24174,30050
-28,402470,26886,34726
-27,427521,28310,39982
-26,448634,31925,44973
-25,471040,35503,51856
-24,479113,36289,54774
-23,482317,36305,55094
-22,494108,41166,59331
-21,511563,43109,64453
-20,539832,46955,68874
-19,914011,188490,428187
-18,1267700,325096,768684
-17,1452709,361446,937493
-16,1543134,381797,1012674
-15,1878323,530682,1354309
-14,2178335,667099,1668313
-13,2466314,796741,1958768
-12,2717772,925361,2235926
-11,2974669,1065011,2519653
-10,3113264,1128204,2657372
-9,3179816,1161086,2733794
-8,3427515,1295718,3005745
-7,3652314,1436805,3254803
-6,3885955,1582403,3494391
-5,4099530,1749392,3717356
-4,4354458,1968753,4013679
-3,4526673,2142285,4250058
-2,4533516,2145348,4253023
-1,4554490,2159905,4266208
0,4577016,2177467,4273945
1,4582678,2182373,4273947
2,4587546,2185619,4273950
3,4588902,2186002,4273955
