Days out from election,2020,2022,2024
-48,0,0,0
-47,0,0,0
-46,45,9,48
-45,93,10,66
-44,109,11,84
-43,164,20,98
-42,178,29,110
-41,194,30,117
-40,322,80,175
-39,416,135,278
-38,418,135,282
-37,420,138,288
-36,1840,639,755
-35,4373,1289,1296
-34,7871,2648,2326
-33,12470,4093,3699
-32,16984,5744,4859
-31,17214,5744,4878
-30,17411,5745,4951
-29,25807,6952,8062
-28,33325,8972,9703
-27,40897,10237,11812
-26,49087,12326,14287
-25,54873,14353,16287
-24,55071,14364,16324
-23,55245,14365,16330
-22,61960,17591,18315
-21,69894,20441,20942
-20,75002,23002,22577
-19,83344,25582,25894
-18,90034,27714,28733
-17,90372,27797,28816
-16,90373,27839,28828
-15,102272,31066,32874
-14,112727,33307,36022
-13,122465,37012,39589
-12,131845,40662,43279
-11,141224,43783,46892
-10,144505,44195,47499
-9,144543,44196,47514
-8,159142,51812,54705
-7,172651,59612,71880
-6,187096,68084,88074
-5,199132,76895,100776
-4,214656,87010,116168
-3,220915,88740,122530
-2,221123,88879,122719
-1,240818,97074,130718
0,240819,98390,130718
1,240819,98390,130718
2,240819,98390,130718
3,240819,98390,130718
