Days out from election,Dem,GOP,Other
-48,0,0,0
-47,0,0,0
-46,10,17,21
-45,12,26,28
-44,17,34,33
-43,19,40,39
-42,22,44,44
-41,23,47,47
-40,35,62,78
-39,51,115,112
-38,53,117,112
-37,54,119,115
-36,113,331,311
-35,185,566,545
-34,354,956,1016
-33,533,1590,1576
-32,721,2046,2092
-31,723,2050,2105
-30,726,2106,2119
-29,1216,3452,3394
-28,1493,4156,4054
-27,1796,5125,4891
-26,2193,6235,5859
-25,2496,7071,6720
-24,2502,7084,6738
-23,2502,7086,6742
-22,2828,7964,7523
-21,3167,9233,8542
-20,3455,9968,9154
-19,3870,11560,10464
-18,4308,12829,11596
-17,4310,12894,11612
-16,4311,12904,11613
-15,4861,14764,13249
-14,5370,16148,14504
-13,5775,18077,15737
-12,6173,20045,17061
-11,6540,21989,18363
-10,6558,22425,18516
-9,6561,22429,18524
-8,7154,26585,20966
-7,9207,35422,27251
-6,10916,44091,33067
-5,12190,50987,37599
-4,13696,59635,42837
-3,14304,63152,45074
-2,14331,63269,45119
-1,14998,68046,47674
0,14998,68046,47674
1,14998,68046,47674
2,14998,68046,47674
3,14998,68046,47674
