Days out from election,Dem,GOP,Other
-48,0,0,0
-47,0,0,0
-46,0,2,0
-45,0,2,0
-44,0,2,0
-43,9,9,0
-42,16,14,0
-41,24,25,5
-40,31,38,8
-39,83,80,23
-38,83,80,23
-37,83,80,23
-36,158,153,50
-35,204,189,67
-34,327,235,99
-33,423,292,136
-32,551,375,175
-31,553,375,175
-30,553,375,176
-29,802,548,259
-28,26180,31307,4227
-27,47845,57453,7438
-26,70500,84275,11001
-25,103035,121914,16642
-24,105891,124634,17192
-23,106127,124922,17262
-22,142411,163609,23344
-21,189618,222408,32317
-20,229680,269782,39821
-19,280750,329566,50990
-18,342970,401575,65250
-17,357025,411057,67799
-16,357560,411554,67902
-15,416557,490682,82929
-14,461405,548849,93785
-13,515133,613598,107193
-12,562417,672737,119031
-11,610142,734915,131575
-10,653949,780111,143022
-9,671645,799828,147497
-8,723572,869530,162661
-7,766431,930477,175599
-6,808802,992415,190199
-5,852679,1050015,204330
-4,901874,1118539,221820
-3,939742,1163581,235440
-2,964888,1192895,244249
-1,975266,1204036,248329
0,990202,1216280,253852
1,991683,1217430,254478
2,991683,1217430,254478
3,991685,1217434,254479
