Days out from election,2020,2022,2024
-48,0,0,59
-47,0,30,93
-46,0,60,224
-45,0,60,225
-44,0,60,228
-43,0,129,495
-42,0,243,656
-41,0,321,955
-40,0,534,1385
-39,0,734,1792
-38,16484,734,1796
-37,16484,734,1797
-36,16484,1309,3012
-35,16484,1443,3376
-34,16484,2023,4382
-33,16484,2634,5458
-32,16484,3405,6933
-31,53282,3406,6933
-30,53282,3408,6949
-29,53282,3511,10995
-28,53282,5322,11971
-27,53282,5661,15180
-26,53282,8202,18377
-25,53282,10357,21624
-24,99219,10358,21657
-23,99219,10359,21657
-22,99219,14960,21815
-21,99219,15480,27760
-20,99219,18082,29940
-19,99219,20736,35641
-18,99219,23578,40094
-17,146189,23581,40181
-16,146189,23581,40182
-15,146189,29507,47085
-14,146189,30329,52516
-13,146189,33635,55058
-12,146189,36914,59897
-11,146189,40672,65504
-10,195953,40691,65643
-9,195953,40692,65652
-8,195953,48024,75386
-7,195953,49111,78335
-6,195953,56034,85341
-5,195953,59844,88109
-4,195953,62918,94014
-3,368811,64184,96166
-2,368811,64185,96174
-1,368811,67042,99924
0,368811,68423,102307
1,368811,68423,102373
2,368811,68423,102373
3,368811,68423,102373
