Days out from election,2020,2022,2024
-48,2,0,0
-47,42,0,0
-46,66,2,4
-45,66,2,4
-44,67,2,4
-43,6025,1276,5173
-42,7016,1803,5374
-41,7106,4349,5662
-40,7412,4374,5874
-39,7531,4409,6151
-38,7536,4409,6152
-37,7539,4412,6155
-36,8087,4667,6515
-35,8384,4723,6780
-34,9917,4772,6995
-33,10317,6296,8809
-32,10623,6450,9018
-31,10626,6450,9019
-30,10628,6450,9019
-29,13700,6583,10000
-28,14726,6733,10557
-27,15092,6848,11090
-26,15753,7493,11564
-25,16394,7731,12338
-24,16483,7731,12338
-23,16484,7731,12343
-22,17475,8043,12612
-21,18655,8337,13166
-20,20355,8654,14690
-19,23918,9065,15333
-18,66719,12424,18968
-17,108512,12722,20468
-16,129698,14990,22392
-15,370790,84008,101013
-14,546522,132525,166109
-13,783151,240984,292416
-12,967267,320218,426381
-11,1117729,409290,547425
-10,1201715,414708,587346
-9,1232005,422033,594229
-8,1399336,588733,802005
-7,1554658,664134,933742
-6,1684644,770188,1087122
-5,1791935,869923,1202088
-4,1881436,995246,1317046
-3,1942823,1054921,1392116
-2,1972117,1068580,1424550
-1,2132994,1343342,1696003
0,2377020,1937489,2077470
1,2377093,1957915,2077828
2,2377253,1960971,2077828
3,2377382,1960979,2077828
