Days out from election,2020,2022,2024
-48,171,47,39
-47,185,60,49
-46,215,75,70
-45,236,76,70
-44,236,76,70
-43,313,1215,369
-42,363,1365,498
-41,460,3166,811
-40,571,4535,1125
-39,781,5699,1738
-38,800,5703,2925
-37,839,5703,3244
-36,1287,10074,21408
-35,1958,12028,31676
-34,13473,22244,53973
-33,20118,33652,84467
-32,28645,48710,119795
-31,37328,50208,124552
-30,37496,50296,129727
-29,74902,51391,209068
-28,90124,97560,253495
-27,167986,122750,330363
-26,213997,180159,396768
-25,269692,223742,461835
-24,355159,233304,473137
-23,375099,233304,475687
-22,431942,314229,509646
-21,509108,364636,602147
-20,580079,435647,657415
-19,677129,495713,750764
-18,815532,528038,837724
-17,861683,546941,859656
-16,883117,556834,864387
-15,1023153,624606,982119
-14,1173608,672757,1046433
-13,1313203,724226,1120477
-12,1440014,776022,1189081
-11,1556332,818109,1237691
-10,1658039,833113,1273365
-9,1694614,834542,1285440
-8,1821234,894700,1351515
-7,1961250,944082,1418304
-6,2100600,995440,1479922
-5,2220977,1039387,1526894
-4,2306898,1070346,1575196
-3,2357335,1097460,1601347
-2,2384820,1099852,1611487
-1,2477021,1162991,1679681
0,2555146,1216180,1743610
1,2582715,1228312,1745335
2,2598542,1228502,1745398
3,2604300,1228705,1745404
