Days out from election,Dem,GOP,Other
-48,15,22,2
-47,19,27,3
-46,26,41,3
-45,26,41,3
-44,26,41,3
-43,180,184,5
-42,237,256,5
-41,383,423,5
-40,531,585,9
-39,908,812,18
-38,2023,878,24
-37,2336,884,24
-36,16719,4451,238
-35,24964,6348,364
-34,42315,11051,607
-33,65604,17910,953
-32,92847,25569,1379
-31,96791,26342,1419
-30,101115,27125,1487
-29,159323,47129,2616
-28,189834,60324,3337
-27,243267,82422,4674
-26,288052,102616,6100
-25,330435,123900,7500
-24,337936,126784,8417
-23,339808,127436,8443
-22,361404,139283,8959
-21,420549,170419,11179
-20,453323,192002,12090
-19,509367,227247,14150
-18,560246,259163,18315
-17,575031,265956,18669
-16,577809,267829,18749
-15,644128,313608,24383
-14,678724,341747,25962
-13,717972,373713,28792
-12,754320,404369,30392
-11,778840,426754,32097
-10,797938,442267,33160
-9,804163,447905,33372
-8,836227,479700,35588
-7,868015,511995,38294
-6,900778,537972,41172
-5,926372,557957,42565
-4,951910,576611,46675
-3,967058,586711,47578
-2,973555,589961,47971
-1,1010345,617051,52285
0,1050886,637746,54978
1,1051873,638438,55024
2,1051917,638455,55026
3,1051922,638456,55026
