Days out from election,Dem,GOP,Other
-48,0,0,0
-47,0,0,0
-46,0,0,0
-45,0,0,0
-44,0,0,0
-43,0,0,0
-42,0,0,0
-41,0,0,0
-40,0,0,0
-39,0,0,0
-38,0,0,0
-37,0,0,0
-36,3,0,0
-35,3,0,0
-34,3,0,0
-33,3,0,0
-32,4,0,0
-31,4,0,0
-30,5,0,0
-29,6,0,0
-28,8,0,0
-27,269,118,26
-26,270,119,26
-25,271,120,26
-24,272,120,26
-23,470,159,41
-22,575,195,49
-21,642,216,56
-20,708,236,61
-19,742,245,65
-18,4128,1167,302
-17,4220,1206,315
-16,4275,1217,321
-15,7420,2075,569
-14,8968,2568,709
-13,11285,3225,925
-12,17936,5688,1584
-11,18025,5730,1593
-10,18168,5762,1605
-9,18207,5775,1612
-8,23559,7659,2204
-7,27812,9170,2682
-6,27923,9212,2694
-5,27923,9212,2694
-4,27923,9212,2694
-3,27923,9212,2694
-2,27923,9212,2694
-1,27923,9212,2694
0,92205,49183,9815
1,92205,49183,9815
2,92205,49183,9815
3,92205,49183,9815
