Days out from election,Dem,GOP,Other
-48,1,0,0
-47,1,0,0
-46,139,138,58
-45,269,272,119
-44,371,349,160
-43,460,452,200
-42,661,577,284
-41,743,640,307
-40,803,693,337
-39,841,728,361
-38,859,748,372
-37,870,768,383
-36,942,833,407
-35,980,873,435
-34,1023,913,459
-33,1093,967,477
-32,1154,1034,503
-31,1167,1052,511
-30,1186,1080,521
-29,1438,1456,618
-28,1618,1638,684
-27,2152,2222,849
-26,2608,2702,973
-25,3501,3816,1209
-24,3529,3931,1229
-23,3563,3965,1245
-22,4499,4710,1433
-21,7899,8870,2419
-20,9446,10593,2787
-19,12717,14307,3630
-18,15243,17704,4427
-17,15457,18192,4535
-16,15475,18207,4541
-15,505285,798626,211820
-14,506857,800634,212395
-13,509123,803523,213193
-12,511615,806614,214033
-11,513521,809098,214700
-10,514330,810360,215021
-9,514353,810385,215029
-8,516784,813407,215997
-7,518514,815321,216592
-6,520321,817660,217283
-5,521815,819387,217805
-4,523388,821196,218391
-3,524735,822663,218841
-2,524866,822780,218874
-1,525261,823148,219017
0,525261,823148,219017
1,525261,823148,219017
2,525261,823148,219017
3,525261,823148,219017
