Days out from election,Dem,GOP,Other
-48,0,0,0
-47,0,0,0
-46,475,739,49
-45,475,739,49
-44,475,739,49
-43,1050,1779,389
-42,1607,2853,663
-41,2267,3865,919
-40,2875,4790,1181
-39,3464,5752,1254
-38,3464,5752,1254
-37,3464,5752,1254
-36,4274,6932,1642
-35,4936,7998,1958
-34,5687,9212,2260
-33,6364,10445,2601
-32,7045,11738,2697
-31,7045,11738,2697
-30,7045,11738,2697
-29,8187,13683,3237
-28,9222,15259,3779
-27,10205,17032,4252
-26,11245,18715,4763
-25,12125,20465,4917
-24,12125,20465,4917
-23,12125,20466,4917
-22,12373,20562,5119
-21,14430,23984,5940
-20,16032,26731,6639
-19,17417,29269,7269
-18,18762,31901,7448
-17,18762,31906,7448
-16,18762,31907,7448
-15,20943,35747,8524
-14,22778,39247,9296
-13,24652,42701,10027
-12,26362,46286,10763
-11,28215,50434,11068
-10,28217,50439,11068
-9,28229,50465,11071
-8,30621,55399,12201
-7,32913,60024,13090
-6,35164,65005,13968
-5,37495,70145,14895
-4,39841,75305,15398
-3,39946,75433,15461
-2,39951,75437,15461
-1,43744,82733,16958
0,43744,82733,16958
1,43744,82733,16958
2,43744,82733,16958
3,43744,82733,16958
