Days out from election,Dem,GOP,Other
-48,0,0,0
-47,0,0,0
-46,0,0,0
-45,0,0,0
-44,0,0,0
-43,0,0,0
-42,0,0,0
-41,0,0,0
-40,0,0,0
-39,0,0,0
-38,0,0,0
-37,0,0,0
-36,0,0,0
-35,0,0,0
-34,0,0,0
-33,0,0,0
-32,0,0,0
-31,0,0,0
-30,0,0,0
-29,0,0,0
-28,0,0,0
-27,0,0,0
-26,0,0,0
-25,0,0,0
-24,0,0,0
-23,0,0,0
-22,0,0,0
-21,0,0,0
-20,66937,130400,11598
-19,114912,237250,20349
-18,114912,237250,20349
-17,114912,237250,20349
-16,190551,402397,35961
-15,235858,507173,45663
-14,281258,612231,55897
-13,321541,709212,66155
-12,360608,800824,76730
-11,360608,800824,76730
-10,360608,800824,76730
-9,429943,956010,97700
-8,471888,1047930,110807
-7,516792,1139314,125475
-6,561586,1228238,141445
-5,611361,1321200,159480
-4,611361,1321200,159480
-3,611361,1321200,159480
-2,611361,1321200,159480
-1,611361,1321200,159480
0,611361,1321200,159480
1,611361,1321200,159480
2,611361,1321200,159480
3,611361,1321200,159480
