Days out from election,2020,2022,2024
-48,0,0,0
-47,0,0,0
-46,0,0,0
-45,0,0,0
-44,0,0,0
-43,0,0,0
-42,0,0,0
-41,0,0,0
-40,4,0,0
-39,4,0,0
-38,4,0,0
-37,4,1504,1729
-36,4,3482,4410
-35,4,4462,5809
-34,4,7281,9464
-33,3187,10381,13075
-32,6129,13945,17899
-31,12553,14069,19274
-30,56798,14071,19404
-29,91306,15288,28869
-28,115149,23956,38750
-27,156912,30708,46593
-26,195441,43814,61412
-25,233809,57368,73364
-24,250195,59357,78329
-23,261407,59775,78920
-22,297589,77658,85592
-21,1119363,89466,100946
-20,1887935,102890,117156
-19,2615952,120193,133893
-18,3430349,134768,149486
-17,3872767,154734,157764
-16,4047319,155143,158906
-15,4699129,647755,1080622
-14,5292801,1145648,1937720
-13,5818093,1614169,2764003
-12,6295647,2061462,3529121
-11,6801489,2509803,4354471
-10,7130733,2838848,4966556
-9,7288621,2984673,5269026
-8,7695506,3398642,5981239
-7,8070186,3792402,6629173
-6,8457248,4229412,7231761
-5,8930828,4746185,7799268
-4,9539183,5471527,8636215
-3,9542971,5471527,8636215
-2,9542971,5471527,8636215
-1,9542971,5471527,8636215
0,9542971,5471527,8636215
1,9542971,5471527,8636215
2,9542971,5471527,8636215
3,9542971,5471527,8636215
