Days out from election,Dem,GOP,Other
-48,11,3,1
-47,14,4,1
-46,23,5,2
-45,23,5,2
-44,23,5,2
-43,37,9,3
-42,52,12,5
-41,73,17,8
-40,113,27,17
-39,434,122,68
-38,507,172,94
-37,514,173,95
-36,2510,801,443
-35,4855,1616,900
-34,7154,2467,1404
-33,10076,3578,1997
-32,12821,4348,2576
-31,12924,4403,2614
-30,13041,4424,2621
-29,20042,6693,3989
-28,25865,8517,5088
-27,31134,10264,6198
-26,35835,11730,7124
-25,39357,12752,7768
-24,39510,12821,7804
-23,39727,12865,7843
-22,40765,13224,8039
-21,48775,15671,9511
-20,53605,17212,10493
-19,59849,19425,11756
-18,64251,20610,12628
-17,64423,20642,12668
-16,64598,20684,12693
-15,72744,23400,14353
-14,78420,25351,15573
-13,83137,26985,16674
-12,88279,28838,17844
-11,91962,29940,18586
-10,92144,30007,18626
-9,92658,30108,18710
-8,100683,33029,20481
-7,107100,35484,22006
-6,113421,37552,23338
-5,119556,39696,24714
-4,124439,41251,25743
-3,125293,41458,25908
-2,126436,41697,26105
-1,138975,46253,29121
0,139943,46605,29367
1,139943,46605,29367
2,139943,46605,29367
3,139946,46607,29368
