Days out from election,2020,2022,2024
-48,669,895,0
-47,768,1391,1
-46,36078,11216,56895
-45,38939,11739,60961
-44,39164,12013,61284
-43,77170,22183,107381
-42,118892,33545,145844
-41,168512,45148,186209
-40,226562,59593,230265
-39,292757,74641,267182
-38,309048,74947,267561
-37,309913,75342,267740
-36,400559,98463,322378
-35,461838,112408,355221
-34,527084,130228,396118
-33,595690,149335,437280
-32,660001,167253,483486
-31,672284,167319,486972
-30,674084,167545,487419
-29,745824,172889,538885
-28,798056,200905,577659
-27,856196,215666,617446
-26,917544,235097,657449
-25,986083,256637,707183
-24,1003989,257956,709980
-23,1004811,258647,715549
-22,1031768,284358,737006
-21,1098645,305736,803058
-20,1165148,328819,854210
-19,1243675,350918,916801
-18,1329105,376027,991276
-17,1374556,376581,1017028
-16,1380562,377387,1021270
-15,1481959,415230,1109705
-14,1571602,444369,1183344
-13,1666816,476079,1259704
-12,1757223,514599,1339823
-11,1863150,557847,1435491
-10,1951005,595978,1532073
-9,1953419,602854,1544828
-8,2079162,649836,1651121
-7,2187481,692325,1748393
-6,2310319,739891,1849495
-5,2440123,792253,1949943
-4,2591107,861887,2083439
-3,2733963,929847,2225586
-2,2735392,930135,2226278
-1,2760807,942129,2244173
0,2799403,950441,2260589
1,2806488,950443,2264583
2,2809520,950443,2264583
3,2810470,950443,2264597
