Days out from election,Dem,GOP,Other
-48,0,0,0
-47,0,0,1
-46,31922,21328,3645
-45,34784,22111,4066
-44,35009,22178,4097
-43,59352,40698,7331
-42,78708,57038,10098
-41,99079,73943,13187
-40,122623,90736,16906
-39,143033,103993,20156
-38,143306,104072,20183
-37,143456,104093,20191
-36,174965,122044,25369
-35,191825,135092,28304
-34,213513,150402,32203
-33,235538,165706,36036
-32,259906,183243,40337
-31,262625,183676,40671
-30,262964,183742,40713
-29,290092,203038,45755
-28,309912,218404,49343
-27,329801,234432,53213
-26,349975,250088,57386
-25,374185,270634,62364
-24,376381,270944,62655
-23,379854,272428,63267
-22,392675,278761,65570
-21,424245,306403,72410
-20,447906,328810,77494
-19,479010,353534,84257
-18,515851,382921,92504
-17,533747,387705,95576
-16,536776,388486,96008
-15,580371,423210,106124
-14,615310,453442,114592
-13,651395,484581,123728
-12,688398,517539,133886
-11,732625,556931,145935
-10,782873,590685,158515
-9,792262,592530,160036
-8,841991,635002,174128
-7,886579,674316,187498
-6,933892,713516,202087
-5,981375,751505,217063
-4,1045078,801364,236997
-3,1119813,846113,259660
-2,1120299,846215,259764
-1,1130495,850790,262888
0,1139786,854796,266007
1,1141917,855867,266799
2,1141917,855867,266799
3,1141926,855869,266802
