Days out from election,2020,2022,2024
-48,15,2,6
-47,24,3,14
-46,248,45,147
-45,437,100,392
-44,634,140,601
-43,1036,211,992
-42,1521,253,1462
-41,1932,346,1886
-40,2208,422,2081
-39,2629,471,2874
-38,2721,496,2982
-37,2819,530,3141
-36,3779,645,4140
-35,4161,742,5005
-34,4695,817,5603
-33,6339,903,5936
-32,9673,983,7625
-31,10185,1019,7765
-30,10297,1055,7901
-29,13030,1627,8584
-28,14759,1761,9780
-27,18436,2571,10179
-26,19882,3005,10598
-25,22646,3409,13449
-24,22765,3440,13570
-23,22839,3490,13755
-22,45404,5037,21748
-21,70805,12874,36202
-20,116195,17567,58637
-19,150877,22202,83319
-18,194434,29794,116444
-17,199078,29846,116569
-16,199174,29925,138584
-15,510698,128381,319512
-14,949586,244942,534492
-13,1331021,398996,744399
-12,1648392,531483,937783
-11,1881933,663275,1130832
-10,2014519,663398,1142952
-9,2034220,663522,1173005
-8,2324409,900313,1463749
-7,2556158,1061853,1692147
-6,2774391,1230965,1932019
-5,2963057,1373191,2115343
-4,3124395,1528704,2282471
-3,3255312,1578165,2404016
-2,3307766,1661579,2485831
-1,3528620,2005443,2863662
0,3775225,2616449,3350417
1,3965522,2907703,3587775
2,3991232,2986042,3635281
3,4005993,2994500,3635281
