Days out from election,Dem,GOP,Other
-48,1,2,3
-47,6,3,5
-46,113,18,16
-45,331,34,27
-44,514,48,39
-43,837,79,76
-42,1180,161,121
-41,1473,231,182
-40,1626,259,196
-39,2145,420,309
-38,2240,427,315
-37,2379,439,323
-36,3050,649,441
-35,3633,827,545
-34,4063,925,615
-33,4301,977,658
-32,5431,1343,851
-31,5554,1349,862
-30,5668,1358,875
-29,6109,1513,962
-28,6917,1770,1093
-27,7188,1850,1141
-26,7481,1932,1185
-25,9161,2721,1567
-24,9263,2725,1582
-23,9423,2735,1597
-22,14119,5185,2444
-21,22020,10177,4005
-20,32549,19725,6363
-19,44364,30050,8905
-18,61350,42759,12335
-17,61463,42762,12344
-16,78726,45981,13877
-15,179206,109067,31239
-14,300417,183202,50873
-13,414970,257758,71671
-12,518336,327443,92004
-11,621221,396805,112806
-10,626604,402027,114321
-9,649713,406158,117134
-8,799445,511309,152995
-7,919953,590614,181580
-6,1044780,674946,212293
-5,1139853,738374,237116
-4,1223845,798117,260509
-3,1289373,835907,278736
-2,1339804,855875,290152
-1,1534999,975922,352741
0,1787010,1122950,440457
1,1881393,1215584,490798
2,1898877,1235964,500440
3,1898877,1235964,500440
