Days out from election,Dem,GOP,Other
-48,70,55,146
-47,135,113,254
-46,275,213,465
-45,293,257,541
-44,295,260,558
-43,2990,1594,3740
-42,4608,2811,6321
-41,10443,5845,13341
-40,16616,8766,20157
-39,21931,11098,25290
-38,22299,11791,26253
-37,22415,11852,26356
-36,35198,17285,39330
-35,39410,19251,43459
-34,47159,22307,50401
-33,52722,25022,56016
-32,56876,27384,60832
-31,57207,27969,61593
-30,57344,28029,61656
-29,67640,32908,71694
-28,71716,35393,76433
-27,79618,38879,83704
-26,84626,41634,89404
-25,90370,44065,94575
-24,90579,44733,95417
-23,90880,44846,95553
-22,95417,47327,100323
-21,107189,53159,111880
-20,111867,55899,117176
-19,120638,60420,126097
-18,127354,64474,133960
-17,128037,65382,134979
-16,128408,65472,135112
-15,140468,73142,148486
-14,177545,106350,202046
-13,213520,136823,251755
-12,249310,167906,300956
-11,283400,195839,344349
-10,293691,201350,350479
-9,296858,202053,351420
-8,337082,234794,401397
-7,371995,265596,445776
-6,405836,295703,487141
-5,437893,325529,526362
-4,477618,363824,574575
-3,488237,367259,578499
-2,492973,368178,580041
-1,498823,373159,587508
0,504281,376123,592344
1,504281,376123,592344
2,504281,376123,592344
3,504283,376129,592356
