Days out from election,2020,2022,2024
-48,0,0,0
-47,0,0,0
-46,916,99,3
-45,916,99,3
-44,916,99,3
-43,2238,199,10
-42,5742,270,10
-41,9031,348,15
-40,12929,440,22
-39,18350,548,30
-38,18350,548,30
-37,18481,548,30
-36,24092,785,60
-35,27899,1191,82
-34,31856,1513,87
-33,35261,1739,108
-32,38350,2007,131
-31,38376,2007,131
-30,38384,2007,131
-29,42895,2007,180
-28,45705,2509,2778
-27,48978,2751,4943
-26,52161,2960,7278
-25,55002,3455,10887
-24,55056,3455,11090
-23,55056,3455,11090
-22,56879,3929,12299
-21,61763,4247,18389
-20,65160,4709,22902
-19,68674,5100,27983
-18,72071,5507,32642
-17,72286,5557,32642
-16,72326,5557,32899
-15,77607,6181,39455
-14,81177,6639,44478
-13,84868,7167,49816
-12,87995,7630,54669
-11,92154,8230,60219
-10,92215,8230,60219
-9,92215,8230,60219
-8,96950,9191,67268
-7,101337,11747,72484
-6,105801,12551,77637
-5,110541,13336,82884
-4,116727,14363,89600
-3,117380,14363,89616
-2,117407,14363,89704
-1,123737,15581,96218
0,125449,15581,96251
1,125449,15581,96251
2,125449,15581,96251
3,125449,15581,96251
