Days out from election,2020,2022,2024
-48,0,2,0
-47,0,2,0
-46,0,2,0
-45,0,2,0
-44,0,2,0
-43,4,3,7
-42,23,3,14
-41,41,8,58
-40,160,29,121
-39,687,53,153
-38,705,53,153
-37,705,53,153
-36,1517,182,405
-35,1909,244,489
-34,2258,318,586
-33,2459,337,720
-32,2978,371,1273
-31,3106,371,1308
-30,3106,371,1308
-29,3875,669,1539
-28,4257,842,1678
-27,4752,860,1840
-26,7463,1035,2298
-25,11838,1091,2426
-24,12527,1091,2426
-23,12555,1091,2426
-22,16168,1407,2440
-21,22401,1407,2936
-20,27686,3085,3783
-19,34640,4001,6069
-18,39476,5289,7516
-17,43659,5436,8418
-16,47083,5436,8420
-15,51186,8266,11731
-14,56981,13207,24051
-13,62622,20607,32729
-12,68133,24809,35966
-11,72338,29348,49460
-10,76311,30884,51631
-9,76366,32458,55163
-8,81394,39252,65156
-7,86668,44222,69361
-6,92537,49557,76652
-5,98150,54509,84151
-4,104657,60262,94767
-3,112032,61356,103247
-2,113230,63866,103324
-1,118556,74130,109870
0,127557,81383,110685
1,129904,85295,121005
2,187275,88943,121005
3,188862,89222,121005
