Days out from election,Dem,GOP,Other
-48,0,0,0
-47,0,0,0
-46,2,0,0
-45,3,1,0
-44,3,2,0
-43,108,29,3
-42,144,35,6
-41,189,54,10
-40,256,92,13
-39,335,108,14
-38,335,108,14
-37,368,119,17
-36,491,167,25
-35,643,215,34
-34,744,263,39
-33,830,299,39
-32,932,352,47
-31,961,356,51
-30,1213,413,62
-29,1338,483,72
-28,1564,571,85
-27,2287,2380,197
-26,3482,4565,382
-25,5530,9742,720
-24,5789,10017,737
-23,6035,10111,754
-22,10710,16587,1127
-21,30352,44392,3062
-20,71777,98380,7468
-19,133423,166069,13141
-18,190747,231425,18593
-17,236772,278166,23034
-16,244560,286410,23517
-15,294705,338070,27950
-14,380763,431846,37358
-13,446563,509055,44761
-12,515079,585660,52293
-11,570537,649964,58701
-10,621571,708579,65258
-9,654948,747657,69695
-8,683444,783305,72939
-7,774264,880532,85093
-6,856012,971144,97507
-5,906426,1028276,105063
-4,942102,1075708,110972
-3,975258,1116856,116529
-2,1010460,1153345,122144
-1,1024444,1165341,123983
0,1043082,1183795,126561
1,1055543,1193246,127866
2,1055727,1193499,127884
3,1055727,1193499,127884
