"Days out from election","2020","2022","2024"
-48,304,11,174
-47,316,14,215
-46,353,15,289
-45,383,15,311
-44,385,15,311
-43,650,33,448
-42,1089,54,507
-41,1874,105,632
-40,3446,186,792
-39,5543,282,912
-38,5983,282,940
-37,5983,282,940
-36,10393,474,1345
-35,12320,521,1584
-34,15573,666,1946
-33,17980,800,2317
-32,23869,968,2693
-31,24860,968,2728
-30,24861,991,2730
-29,28675,1038,3335
-28,33092,1352,3837
-27,36081,1502,4366
-26,40140,1787,5015
-25,43265,1970,5507
-24,44729,1973,5671
-23,44729,1989,5671
-22,46956,2308,5812
-21,52259,2454,6666
-20,54673,2821,7361
-19,59291,3186,7942
-18,62682,3542,8547
-17,63981,3543,8615
-16,64783,3559,8621
-15,153728,37001,88436
-14,234580,69167,162058
-13,316085,104090,230674
-12,392555,135606,293586
-11,471977,170544,362628
-10,508869,180618,387895
-9,508870,180619,387897
-8,579193,213900,451231
-7,643671,247129,511155
-6,696382,279418,565245
-5,756214,314849,612965
-4,828860,357695,680756
-3,859090,374206,711674
-2,859090,374206,711684
-1,916734,404239,766430
0,918065,404334,768113
1,918107,404334,768196
2,918118,404334,768196
3,918118,404334,768204
