Days out from election,Dem,GOP,Other
-48,46,112,16
-47,60,134,21
-46,81,178,30
-45,84,196,31
-44,84,196,31
-43,123,280,45
-42,141,314,52
-41,174,395,63
-40,211,500,81
-39,249,565,98
-38,257,582,101
-37,257,582,101
-36,385,812,148
-35,487,925,172
-34,619,1117,210
-33,765,1313,239
-32,892,1531,270
-31,903,1554,271
-30,904,1555,271
-29,1102,1920,313
-28,1293,2170,374
-27,1493,2465,408
-26,1737,2815,463
-25,1914,3082,511
-24,1957,3191,523
-23,1957,3191,523
-22,1993,3280,539
-21,2268,3779,619
-20,2540,4139,682
-19,2734,4467,741
-18,2905,4853,789
-17,2916,4900,799
-16,2920,4901,800
-15,27816,53967,6653
-14,49222,100844,11992
-13,68875,144459,17340
-12,86325,184843,22418
-11,104800,229652,28176
-10,112132,245175,30588
-9,112134,245175,30588
-8,129395,285943,35893
-7,146105,323836,41214
-6,161045,358098,46102
-5,173675,388743,50547
-4,191968,431523,57265
-3,201105,450081,60488
-2,201108,450087,60489
-1,214586,485487,66357
0,215126,486419,66568
1,215151,486464,66581
2,215151,486464,66581
3,215152,486469,66583
