Days out from election,2020,2022,2024
-48,462,12,119
-47,606,14,199
-46,784,24,281
-45,956,30,346
-44,1100,37,391
-43,1843,130,886
-42,2503,201,1170
-41,2982,244,1411
-40,3610,289,1840
-39,4329,370,2132
-38,4486,380,2170
-37,4570,381,2207
-36,5999,604,2791
-35,7635,724,3152
-34,8744,846,3609
-33,10514,984,4398
-32,17967,1126,6135
-31,18764,1134,6215
-30,18890,1140,6258
-29,45996,2180,21702
-28,95997,13515,55580
-27,217459,46500,126441
-26,408119,117275,292526
-25,746743,204182,424365
-24,947714,249294,484059
-23,995879,250326,484139
-22,1350354,409646,620453
-21,1858852,563263,890864
-20,2480723,751511,1223484
-19,3027973,913773,1639933
-18,3518395,1071276,1950180
-17,3862786,1141578,2059843
-16,4001944,1147379,2066421
-15,4530855,1357590,2503841
-14,5120550,1601102,2928439
-13,5707721,1818202,3312310
-12,6187007,2040373,3672849
-11,6631073,2253265,3990801
-10,7009200,2391081,4227258
-9,7169620,2419353,4316736
-8,7593385,2662545,4824582
-7,8159559,2987225,5383320
-6,8747986,3305319,5945393
-5,9264020,3627152,6426629
-4,9814057,3932406,6872784
-3,10330478,4265148,7328266
-2,10703713,4424406,7653152
-1,11187561,4820182,8145320
0,12164243,5065956,8674690
1,12359431,5275919,9007816
2,12377456,5431990,9012900
3,12385105,5477067,9012905
