Days out from election,Dem,GOP,Other
-48,0,0,0
-47,0,0,0
-46,79,42,9
-45,168,74,18
-44,224,86,27
-43,847,258,85
-42,1764,409,139
-41,2032,496,165
-40,2434,605,185
-39,2606,650,194
-38,2626,658,195
-37,2648,667,197
-36,3393,828,240
-35,3754,940,268
-34,4135,1043,291
-33,4524,1139,320
-32,4700,1208,325
-31,4721,1220,329
-30,4753,1237,335
-29,5424,1417,378
-28,5866,1550,417
-27,6452,1690,445
-26,6875,1797,478
-25,7269,1986,528
-24,7299,2000,533
-23,7329,2009,538
-22,19551,9640,1802
-21,41759,24389,4163
-20,68000,46188,7091
-19,103150,71492,10985
-18,154892,114082,16825
-17,159500,118988,17553
-16,160203,120635,17665
-15,268906,200165,30334
-14,328656,251120,37567
-13,396479,306492,45840
-12,449817,350488,52643
-11,507658,397316,60121
-10,534246,411927,63035
-9,541722,422116,64825
-8,646066,499586,78461
-7,729915,562209,89425
-6,805223,619992,99985
-5,873127,671076,109457
-4,946292,726633,119921
-3,1014659,768765,129192
-2,1059836,801234,136695
-1,1255353,942237,167229
0,1650846,1185012,231470
1,1651482,1185143,231548
2,1651611,1185173,231563
3,1651611,1185173,231563
