Days out from election,2020,2022,2024
-48,23,5,22
-47,23,9,26
-46,36,17,42
-45,36,17,43
-44,36,17,43
-43,80,24,76
-42,111,34,100
-41,170,37,144
-40,215,46,179
-39,280,54,215
-38,288,54,216
-37,291,54,216
-36,527,85,339
-35,609,92,386
-34,721,116,469
-33,818,123,516
-32,1114,569,1260
-31,1194,581,1265
-30,1379,590,1267
-29,15981,617,2946
-28,45800,1958,5305
-27,83184,3653,8693
-26,123789,5851,12878
-25,155435,8253,16367
-24,161166,8522,16485
-23,162677,8645,16522
-22,171057,15062,17761
-21,237826,19026,26274
-20,267738,24474,30202
-19,299730,29682,35367
-18,317189,33942,39420
-17,321014,34297,39550
-16,322485,34632,39611
-15,370181,44781,99416
-14,392663,50205,149892
-13,415489,57245,200242
-12,433974,64022,247450
-11,448962,69461,296420
-10,452281,69819,318635
-9,454203,70082,337038
-8,490308,82465,394642
-7,510210,88486,459829
-6,533171,96422,509938
-5,552617,105061,567991
-4,568498,111660,625837
-3,575264,113148,668406
-2,578403,113767,722033
-1,612834,129782,729172
0,613285,136608,730911
1,613285,136616,730911
2,613285,136621,730912
3,613293,136621,731026
