Days out from election,Dem,GOP,Other
-48,18,4,0
-47,20,5,1
-46,35,5,2
-45,36,5,2
-44,36,5,2
-43,58,9,9
-42,72,15,13
-41,106,20,18
-40,128,29,22
-39,148,41,26
-38,149,41,26
-37,149,41,26
-36,240,60,39
-35,273,69,44
-34,336,78,55
-33,372,82,62
-32,756,352,152
-31,758,354,153
-30,760,354,153
-29,1747,862,337
-28,3064,1627,614
-27,5050,2629,1014
-26,7505,3857,1516
-25,9628,4814,1925
-24,9691,4854,1940
-23,9710,4863,1949
-22,10454,5219,2088
-21,15446,7691,3137
-20,17780,8821,3601
-19,20784,10317,4266
-18,23261,11379,4780
-17,23340,11417,4793
-16,23378,11431,4802
-15,57324,31024,11068
-14,85529,47377,16986
-13,113116,63867,23259
-12,138558,79428,29464
-11,165457,95072,35891
-10,178645,101226,38764
-9,189557,106187,41294
-8,220506,125133,49003
-7,255949,145807,58073
-6,283119,161534,65285
-5,315100,179558,73333
-4,346636,197489,81712
-3,371318,209456,87632
-2,401697,224759,95577
-1,406318,226434,96420
0,407459,226800,96652
1,407459,226800,96652
2,407460,226800,96652
3,407514,226833,96679
