Days out from election,Dem,GOP,Other
-48,25,25,2
-47,43,44,7
-46,89,97,16
-45,90,98,16
-44,91,102,16
-43,497,411,93
-42,817,743,163
-41,1103,995,211
-40,1213,1104,226
-39,1512,1449,280
-38,1598,1535,304
-37,1603,1539,304
-36,3132,2914,539
-35,11272,9104,1571
-34,21860,18731,2988
-33,38561,35416,5166
-32,62057,58493,8470
-31,70126,68612,9668
-30,71046,69666,9731
-29,124743,117545,17441
-28,159842,148175,22039
-27,177573,160567,23988
-26,180712,164157,24404
-25,223396,197612,29561
-24,253273,224903,34510
-23,265007,233701,35892
-22,300325,261849,44402
-21,349346,312110,54224
-20,408323,365800,65020
-19,481353,426298,80537
-18,539488,476048,92163
-17,565982,494385,100516
-16,568502,495334,100745
-15,761103,771037,141581
-14,968086,1064386,188215
-13,1177660,1352992,240568
-12,1361656,1621613,286668
-11,1553842,1900554,336105
-10,1714992,2106184,378321
-9,1831978,2242355,407337
-8,2029685,2515140,460651
-7,2240966,2778597,516990
-6,2449121,3020637,574600
-5,2647658,3245336,629147
-4,2870248,3500798,692699
-3,3090587,3721135,754180
-2,3269476,3829724,800481
-1,3313539,3860620,811261
0,3359564,3891158,821855
1,3359569,3891159,821856
2,3359569,3891159,821856
3,3359569,3891159,821856
