Days out from election,2020,2022,2024
-48,34,4,4
-47,40,9,7
-46,85,19,35
-45,86,19,37
-44,96,20,37
-43,1337,43,75
-42,5870,61,124
-41,14359,76,191
-40,27803,119,241
-39,46513,165,249
-38,47650,168,252
-37,48458,169,252
-36,92252,239,537
-35,124497,288,797
-34,162932,327,1050
-33,202206,379,1256
-32,238292,434,1494
-31,246849,435,1554
-30,248510,437,1556
-29,292284,488,1938
-28,324022,587,2512
-27,358126,720,3517
-26,409060,1219,5776
-25,448378,2993,9763
-24,462390,3144,10236
-23,465931,3176,10272
-22,633188,149512,14225
-21,815236,295294,334669
-20,1004591,440576,619383
-19,1222495,577995,889294
-18,1440036,733363,1186788
-17,1526670,819409,1354814
-16,1570132,837993,1400435
-15,1796344,990882,1661657
-14,2002880,1126340,1896799
-13,2208123,1258337,2108352
-12,2404360,1382059,2310474
-11,2610795,1530919,2545153
-10,2757797,1628466,2706042
-9,2800700,1654676,2741573
-8,3023065,1802454,2960128
-7,3230961,1935632,3161377
-6,3452310,2079421,3356707
-5,3638024,2246278,3555596
-4,3888514,2485872,3842497
-3,3915838,2488959,3847854
-2,3921918,2489263,3849653
-1,3961107,2503268,3862674
0,4004792,2513108,3875597
1,4005726,2513267,3875760
2,4006195,2513513,3875764
3,4007232,2513576,3876054
