Days out from election,Dem,GOP,Other
-48,0,0,0
-47,0,0,0
-46,0,0,0
-45,0,0,0
-44,0,0,0
-43,0,0,0
-42,0,0,0
-41,0,0,0
-40,0,0,0
-39,0,0,0
-38,0,0,0
-37,0,0,0
-36,0,0,0
-35,122,18,57
-34,135,21,63
-33,194,35,100
-32,213,36,108
-31,213,36,108
-30,213,36,108
-29,235,40,128
-28,235,40,128
-27,235,40,128
-26,235,40,128
-25,292,49,160
-24,292,49,160
-23,292,49,160
-22,324,53,180
-21,324,53,180
-20,337,54,190
-19,720,142,537
-18,2728,607,2778
-17,10751,3295,11707
-16,10754,3296,11707
-15,17547,5589,19020
-14,30563,9252,32420
-13,39333,12239,41904
-12,46698,14476,49476
-11,53424,16578,56461
-10,59339,18375,62510
-9,59342,18375,62510
-8,64854,19964,67813
-7,75077,23190,78091
-6,82497,25504,85529
-5,89429,27634,92418
-4,95798,29557,98444
-3,102127,31527,104543
-2,102127,31527,104543
-1,105532,32585,107569
0,105532,32585,107569
1,105532,32585,107569
2,105532,32585,107569
3,105532,32585,107569
