Days out from election,Dem,GOP,Other
-48,56,46,17
-47,57,47,18
-46,58,48,18
-45,58,48,18
-44,58,48,18
-43,61,48,18
-42,64,51,18
-41,70,54,19
-40,5363,5817,691
-39,9597,10275,1277
-38,9955,10530,1348
-37,9955,10530,1348
-36,15938,16372,2292
-35,22998,23194,3532
-34,33150,32169,5268
-33,46650,43475,7608
-32,58429,53432,9725
-31,59491,53915,9837
-30,60964,54035,9876
-29,84782,71336,14265
-28,103441,83810,17113
-27,125964,98760,20545
-26,151366,114982,24589
-25,176304,131173,28690
-24,186935,134198,29803
-23,187302,134382,29848
-22,199690,139138,31157
-21,225055,159317,35941
-20,241333,174052,38842
-19,266451,191873,42745
-18,301419,213920,48365
-17,307257,216650,49035
-16,311101,217318,49210
-15,396125,269528,61339
-14,471402,316493,71715
-13,558680,367833,84194
-12,633516,414272,95405
-11,708218,465696,107576
-10,763327,490393,115234
-9,814825,507519,122172
-8,904889,567528,138800
-7,988202,621808,154725
-6,1070456,676022,170946
-5,1151281,728168,187255
-4,1248012,790629,207456
-3,1334671,831292,224502
-2,1393804,853517,236143
-1,1501181,909652,261928
0,1601514,972784,293219
1,1619821,977918,296334
2,1636702,982306,299627
3,1636703,982307,299628
