Days out from election,2020,2022,2024
-48,337,24,27
-47,1199,46,64
-46,2808,112,175
-45,2817,116,220
-44,2820,116,223
-43,12733,436,1076
-42,23631,754,2328
-41,41046,1586,4970
-40,58516,2458,9557
-39,74466,3456,12785
-38,77134,3457,12820
-37,77140,3459,12856
-36,103254,5740,18975
-35,118260,7075,23113
-34,134962,8869,27098
-33,152256,11739,31739
-32,167641,13264,35513
-31,171194,13265,36148
-30,171666,13265,36166
-29,190174,13737,42892
-28,243996,16597,82963
-27,296383,28847,118463
-26,352795,43127,153458
-25,410384,56330,190668
-24,417925,56961,193065
-23,419200,57034,193836
-22,446938,75135,209793
-21,512573,90691,255300
-20,570896,109042,299644
-19,632435,129318,346216
-18,693965,148504,394760
-17,704890,148978,400600
-16,706586,148984,402029
-15,774421,176366,459564
-14,837467,200389,517383
-13,908744,229129,583250
-12,980844,258094,652755
-11,1056712,288428,724108
-10,1141252,322358,815447
-9,1152882,326264,828135
-8,1244014,368563,920460
-7,1340059,409302,1018109
-6,1443676,458176,1125855
-5,1554520,513481,1234842
-4,1666052,580270,1354988
-3,1770666,638087,1480200
-2,1789175,645891,1495914
-1,1832204,675727,1542065
0,1837641,679287,1546848
1,1837662,679288,1546848
2,1837683,679290,1546848
3,1837688,679291,1546848
