Days out from election,Dem,GOP,Other
-48,17,6,4
-47,41,16,7
-46,98,58,19
-45,114,83,23
-44,115,84,24
-43,455,519,102
-42,934,1182,212
-41,2058,2491,421
-40,4361,4425,771
-39,5757,5993,1035
-38,5783,5999,1038
-37,5811,6002,1043
-36,8586,8818,1571
-35,10428,10793,1892
-34,12245,12660,2193
-33,14378,14758,2603
-32,16119,16450,2944
-31,16303,16823,3022
-30,16317,16825,3024
-29,19096,20143,3653
-28,34584,41973,6406
-27,48372,61425,8666
-26,61783,80495,11180
-25,75622,101143,13903
-24,76955,102043,14067
-23,77592,102139,14105
-22,83812,110577,15404
-21,99154,137519,18627
-20,114680,163109,21855
-19,131271,189483,25462
-18,147678,217607,29475
-17,150550,220042,30008
-16,151454,220402,30173
-15,169881,254710,34973
-14,188015,289405,39963
-13,208721,328236,46293
-12,230757,368774,53224
-11,251540,412072,60496
-10,280004,465721,69722
-9,287595,469619,70921
-8,317098,523486,79876
-7,348355,580007,89747
-6,382795,641022,102038
-5,416645,703610,114587
-4,453708,771697,129583
-3,491129,843191,145880
-2,500963,847126,147825
-1,514855,872953,154257
0,517173,874653,155022
1,517173,874653,155022
2,517173,874653,155022
3,517173,874653,155022
