Days out from election,2020,2022,2024
-48,22,1,4
-47,31,1,4
-46,77,1,16
-45,81,1,18
-44,92,1,18
-43,216,6,114
-42,387,14,203
-41,466,19,395
-40,522,27,543
-39,597,36,666
-38,606,36,666
-37,609,36,666
-36,791,93,797
-35,984,119,868
-34,1089,140,926
-33,1301,180,1015
-32,1389,194,1105
-31,1397,196,1106
-30,1399,196,1106
-29,10281,215,1315
-28,20299,330,1406
-27,43271,396,1497
-26,97167,433,1612
-25,170707,458,1718
-24,187777,459,1737
-23,188843,459,1738
-22,249654,564,1822
-21,327715,593,2195
-20,392761,11135,26766
-19,453758,20591,49469
-18,499773,32208,78111
-17,508773,35444,85032
-16,510260,36058,87206
-15,565825,70352,149650
-14,603007,98160,215244
-13,643433,134775,274319
-12,678978,164947,323807
-11,714923,190665,373589
-10,742116,195096,394930
-9,742805,196092,398240
-8,773897,225659,442066
-7,805913,246115,482319
-6,840337,267724,518175
-5,873233,289382,553181
-4,911144,314776,594676
-3,938966,334134,619964
-2,941258,336880,623851
-1,979656,360099,662480
0,985194,363029,665857
1,985855,363093,665901
2,986040,363146,665901
3,986091,363146,665903
