Days out from election,Dem,GOP,Other
-48,0,0,0
-47,0,0,0
-46,0,0,0
-45,0,0,0
-44,0,0,0
-43,0,0,0
-42,0,0,0
-41,0,0,0
-40,0,0,0
-39,0,0,0
-38,0,0,0
-37,0,0,0
-36,0,0,0
-35,0,0,0
-34,0,0,0
-33,0,0,0
-32,0,0,0
-31,0,0,0
-30,0,0,0
-29,0,0,0
-28,0,0,0
-27,0,0,0
-26,0,0,0
-25,0,0,0
-24,0,0,0
-23,0,0,0
-22,0,0,0
-21,0,0,0
-20,474,208,49
-19,2194,2338,236
-18,4482,6137,489
-17,4482,6137,489
-16,4482,6137,489
-15,15773,17662,1243
-14,27420,31884,2343
-13,34421,37801,2944
-12,69451,84269,6183
-11,88253,110171,7979
-10,88253,110171,7979
-9,88253,110171,7979
-8,124494,153283,11152
-7,139793,171726,13526
-6,159920,198277,15566
-5,181860,231843,18288
-4,205245,265473,21238
-3,227053,296478,24223
-2,227053,296478,24223
-1,258911,331151,27906
0,273609,352015,30347
1,273609,352015,30347
2,273609,352015,30347
3,273609,352015,30347
