Days out from election,Dem,GOP,Other
-48,0,0,0
-47,0,0,0
-46,0,0,0
-45,0,0,0
-44,0,0,0
-43,0,0,0
-42,0,0,0
-41,0,0,0
-40,0,0,0
-39,0,0,0
-38,0,0,0
-37,0,0,0
-36,0,0,0
-35,0,0,0
-34,0,0,0
-33,0,0,0
-32,0,0,0
-31,0,0,0
-30,0,0,0
-29,0,0,0
-28,0,0,0
-27,0,0,0
-26,0,0,0
-25,0,0,0
-24,0,0,0
-23,0,0,0
-22,0,0,0
-21,0,0,0
-20,0,0,0
-19,0,0,0
-18,35786,98776,38642
-17,53186,143082,56892
-16,53186,143082,56892
-15,69700,196313,75853
-14,85445,246706,94486
-13,100108,292490,112543
-12,114119,332713,129255
-11,129939,378517,149313
-10,149449,417994,169233
-9,149449,417994,169233
-8,169099,464415,191801
-7,194189,513227,217977
-6,194189,513227,217977
-5,194189,513227,217977
-4,194189,513227,217977
-3,194189,513227,217977
-2,194189,513227,217977
-1,194189,513227,217977
0,194189,513227,217977
1,194189,513227,217977
2,194189,513227,217977
3,194189,513227,217977
