Days out from election,2020,2022,2024
-48,73,18,31
-47,204,75,147
-46,459,130,661
-45,619,170,862
-44,775,190,1047
-43,968,223,1284
-42,1107,243,1434
-41,1229,269,1579
-40,1345,293,1749
-39,1439,327,1952
-38,1512,338,2033
-37,1600,357,2117
-36,1832,715,2727
-35,2015,1038,3612
-34,2344,1750,4906
-33,3065,2692,6613
-32,4525,3756,8161
-31,4905,3849,8466
-30,5219,4020,8771
-29,20592,4346,17471
-28,38762,10956,27078
-27,60417,16091,37577
-26,85822,24026,49304
-25,109990,28530,57522
-24,114106,28991,58244
-23,116739,29349,58941
-22,122753,41562,60341
-21,162660,49732,84748
-20,191687,60157,102633
-19,220329,68934,118659
-18,241372,76492,128838
-17,245495,77098,130653
-16,248298,77365,131626
-15,277525,91145,152596
-14,297223,102204,170631
-13,316797,111369,187854
-12,335347,122172,206111
-11,350295,131162,218765
-10,354564,132209,221829
-9,356318,133042,223201
-8,379320,150179,250473
-7,400831,164257,276940
-6,421588,178941,302044
-5,446272,196720,330859
-4,473616,204298,338165
-3,475477,205893,340265
-2,476891,207114,342370
-1,487977,223885,358064
0,491739,228472,363530
1,491739,228472,363530
2,491739,228472,363530
3,491739,228472,363530
