Days out from election,Dem,GOP,Other
-48,11,15,5
-47,94,33,20
-46,490,110,61
-45,653,134,75
-44,801,156,90
-43,995,178,111
-42,1106,202,126
-41,1219,225,135
-40,1339,262,148
-39,1487,300,165
-38,1549,308,176
-37,1622,314,181
-36,1997,479,251
-35,2523,746,343
-34,3304,1125,477
-33,4297,1665,651
-32,5180,2149,832
-31,5383,2234,849
-30,5623,2273,875
-29,10977,4759,1735
-28,16616,7881,2581
-27,22868,11170,3539
-26,29775,14908,4621
-25,34646,17558,5318
-24,35133,17743,5368
-23,35624,17898,5419
-22,36523,18217,5601
-21,50515,26341,7892
-20,60943,32169,9521
-19,70029,37602,11028
-18,75536,41272,12030
-17,76781,41717,12155
-16,77455,41925,12246
-15,89114,49099,14383
-14,98860,55642,16129
-13,108061,61964,17829
-12,117669,68734,19708
-11,124368,73471,20926
-10,126401,74230,21198
-9,127312,74550,21339
-8,141740,84562,24171
-7,155583,94509,26848
-6,168501,103934,29609
-5,183157,114958,32744
-4,187177,117437,33551
-3,188582,117919,33764
-2,190040,118334,33996
-1,198835,123428,35801
0,202158,124962,36410
1,202158,124962,36410
2,202158,124962,36410
3,202158,124962,36410
