Days out from election,2020,2022,2024
-48,3,0,0
-47,3,0,36
-46,3,0,54
-45,3,0,290
-44,3,0,290
-43,6,2,366
-42,36,4,1835
-41,47,29,3981
-40,100,31,8048
-39,234,39,22815
-38,343,45,29090
-37,375,59,31749
-36,1247,246,55396
-35,3814,484,70322
-34,12022,1044,97857
-33,23414,1817,114158
-32,38456,4248,145931
-31,52976,5433,155518
-30,60902,5568,155996
-29,98528,6044,177147
-28,126076,17210,200242
-27,164337,25315,216342
-26,205800,38885,229669
-25,254129,57885,250955
-24,289284,67664,258360
-23,310215,75876,260554
-22,352354,94369,266513
-21,402178,112496,277722
-20,446280,130064,294194
-19,502040,142934,322801
-18,570924,158087,340654
-17,623771,162198,343551
-16,662381,164330,349570
-15,743340,186401,375647
-14,788786,205451,391570
-13,841275,221838,407122
-12,886167,285818,575151
-11,928399,348598,724587
-10,961293,384552,816818
-9,971675,414230,892589
-8,1184848,477378,1034508
-7,1384238,544876,1172500
-6,1595826,620164,1325123
-5,1780169,728235,1506559
-4,1959746,745405,1520449
-3,2074534,756987,1534607
-2,2173946,763265,1550052
-1,2349983,783730,1580409
0,2407360,814797,1613997
1,2433112,833203,1635699
2,2445897,854814,1637407
3,2452022,872441,1637424
