Days out from election,Dem,GOP,Other
-48,0,0,0
-47,35,1,0
-46,46,8,0
-45,246,41,3
-44,246,41,3
-43,307,54,5
-42,1397,390,48
-41,2962,924,95
-40,6167,1699,182
-39,17774,4552,489
-38,22485,5983,622
-37,24588,6471,690
-36,41156,13010,1230
-35,51670,17103,1549
-34,73226,22583,2048
-33,84170,27537,2451
-32,109102,33785,3044
-31,116462,35798,3258
-30,116835,35897,3264
-29,132575,40914,3658
-28,150070,46025,4147
-27,162139,49745,4458
-26,171943,52988,4738
-25,187882,57857,5216
-24,193943,59046,5371
-23,195571,59534,5449
-22,199856,61056,5601
-21,208418,63466,5838
-20,220728,67307,6159
-19,243151,72934,6716
-18,256608,76914,7132
-17,258557,77759,7235
-16,262933,79217,7420
-15,282169,85403,8075
-14,294716,88421,8433
-13,306087,92230,8805
-12,408137,155004,12010
-11,500124,209235,15228
-10,560508,238745,17565
-9,608288,264780,19521
-8,696681,314970,22857
-7,782957,363279,26264
-6,881176,413510,30437
-5,1005766,465251,35542
-4,1015973,468524,35952
-3,1027121,471078,36408
-2,1039531,473683,36838
-1,1062209,480314,37886
0,1087374,487514,39109
1,1103673,492117,39909
2,1104940,492486,39981
3,1104951,492488,39985
