Days out from election,Dem,GOP,Other
-48,96,12,7
-47,205,19,15
-46,336,31,24
-45,364,32,26
-44,385,34,29
-43,650,63,47
-42,809,86,59
-41,908,90,64
-40,1005,102,66
-39,1091,117,75
-38,1099,118,75
-37,1119,119,78
-36,1395,185,102
-35,1777,289,139
-34,2361,482,183
-33,3429,907,257
-32,4754,1347,331
-31,4842,1367,336
-30,5005,1421,349
-29,21032,6638,1609
-28,31169,9592,2270
-27,50017,15824,3787
-26,75240,24437,5967
-25,93199,30388,7433
-24,94696,30878,7563
-23,95491,31114,7623
-22,97486,31617,7740
-21,172589,54662,13679
-20,200489,61765,15558
-19,266953,81523,21036
-18,307895,92556,24413
-17,355557,114274,28558
-16,371798,117846,29552
-15,448865,150491,36876
-14,510323,174404,42219
-13,573799,200404,48211
-12,635206,224010,53764
-11,675991,240216,57713
-10,731694,263781,63297
-9,747008,267138,64525
-8,814335,298674,72078
-7,884204,329079,79827
-6,946800,357407,87170
-5,1015052,385756,94942
-4,1072462,410397,101952
-3,1086578,413463,103232
-2,1090928,414452,103635
-1,1131825,425439,108248
0,1131825,425439,108248
1,1131825,425439,108248
2,1131825,425439,108248
3,1131825,425439,108248
