Days out from election,2020,2022,2024
-48,24,10,10
-47,63,19,33
-46,154,42,44
-45,169,47,50
-44,208,50,55
-43,1480,276,420
-42,3475,778,908
-41,6641,1397,1529
-40,13384,2531,2949
-39,23743,4424,5013
-38,26626,4635,5381
-37,28238,4775,5729
-36,78657,19480,27552
-35,140935,37539,64728
-34,208992,62122,107165
-33,296110,92042,158090
-32,377115,127587,202651
-31,394556,130611,207010
-30,399154,131685,209780
-29,543133,166084,322342
-28,655879,226545,401224
-27,771157,270281,475576
-26,871199,328038,549856
-25,962467,372121,604978
-24,987994,377956,613307
-23,995775,380048,617199
-22,1096000,464620,679860
-21,1226340,521326,790814
-20,1334084,585766,864227
-19,1433537,639903,951648
-18,1518983,689571,1014383
-17,1556128,702429,1026791
-16,1563325,704559,1032323
-15,1713366,794721,1162280
-14,1834365,857389,1254200
-13,1937305,922847,1342775
-12,2030578,983656,1420179
-11,2110965,1036176,1479662
-10,2137823,1044030,1648857
-9,2146972,1047106,1770196
-8,2272993,1149812,1991967
-7,2389082,1224014,2194624
-6,2504293,1295401,2384065
-5,2622301,1367800,2569848
-4,2747109,1441327,2770831
-3,2864434,1498549,2966063
-2,2890336,1515824,3174370
-1,3099248,1682230,3292755
0,3255630,1686152,3414662
1,3255633,1686152,3414925
2,3255634,1686152,3414926
3,3255634,1686152,3414932
